sysid,title,article_text,law_group,law_type
oic_10111,สอบราคาจ้างเหมาทำความสะอาดอาคารสำนักงาน คปภ. ปี พ.ศ.2553,[ข่าวประกาศ] 2014-05-27 สอบราคาจ้างเหมาทำความสะอาดอาคารสำนักงาน คปภ. ปี พ.ศ.2553,ประกันภัย,ข่าวประกาศ
oic_10112,รายชื่อผู้มีสิทธิ์เข้ารับการอบรมหลักสูตรขอต่ออายุใบอนุญาตฯ ครั้งที่ 4 รุ่นที่ 10,[ข่าวประกาศ] 2014-05-27 รายชื่อผู้มีสิทธิ์เข้ารับการอบรมหลักสูตรขอต่ออายุใบอนุญาตฯ ครั้งที่ 4 รุ่นที่ 10,ประกันภัย,ข่าวประกาศ
oic_10113,รายงานงบการเงินของสำนักงาน คปภ.,[ข่าวประกาศ] 2014-05-27 รายงานงบการเงินของสำนักงาน คปภ.,ประกันภัย,ข่าวประกาศ
oic_10114,ข้อกำหนดสำนักงาน คปภ. ว่าด้วยการพิจารณาจำหน่ายลูกหนี้ฯ,[ข่าวประกาศ] 2014-05-27 ข้อกำหนดสำนักงาน คปภ. ว่าด้วยการพิจารณาจำหน่ายลูกหนี้ฯ,ประกันภัย,ข่าวประกาศ
oic_10115,ข้อกำหนดสำนักงาน คปภ. ว่าด้วยการพิจารณาจำหน่ายลูกหนี้ฯ,[ข่าวประกาศ] 2014-05-27 ข้อกำหนดสำนักงาน คปภ. ว่าด้วยการพิจารณาจำหน่ายลูกหนี้ฯ,ประกันภัย,ข่าวประกาศ
oic_10116,ประกาศสอบราคาจ้าง 3 เรื่อง,[ข่าวประกาศ] 2014-05-27 ประกาศสอบราคาจ้าง 3 เรื่อง,ประกันภัย,ข่าวประกาศ
oic_10117,ประกาศประกวดราคา 3 เรื่อง,[ข่าวประกาศ] 2014-05-27 ประกาศประกวดราคา 3 เรื่อง,ประกันภัย,ข่าวประกาศ
oic_10118,ประกาศประกวดราคา 3 เรื่อง,[ข่าวประกาศ] 2014-05-27 ประกาศประกวดราคา 3 เรื่อง,ประกันภัย,ข่าวประกาศ
oic_10119,การประชุมแถลงนโยบายฯ สำนักงาน คปภ. ปี 2553 ในวันที่ 19-20 พ.ย. 2552,[ข่าวประกาศ] 2014-05-27 การประชุมแถลงนโยบายฯ สำนักงาน คปภ. ปี 2553 ในวันที่ 19-20 พ.ย. 2552,ประกันภัย,ข่าวประกาศ
oic_10120,รายงานงบการเงิน สำนักงาน คปภ.,[ข่าวประกาศ] 2014-05-27 รายงานงบการเงิน สำนักงาน คปภ.,ประกันภัย,ข่าวประกาศ
oic_10121,สรุปผลการประชุม เรื่อง Cash Before Cover,[ข่าวประกาศ] 2014-05-27 สรุปผลการประชุม เรื่อง Cash Before Cover,ประกันภัย,ข่าวประกาศ
oic_10122,สรุปผลการประชุม เรื่อง Cash Before Cover,[ข่าวประกาศ] 2014-05-27 สรุปผลการประชุม เรื่อง Cash Before Cover,ประกันภัย,ข่าวประกาศ
oic_10123,ประกาศสอบราคาจ้างเหมาเช่ารถยนต์โดยสารปรับอากาศ,[ข่าวประกาศ] 2014-05-27 ประกาศสอบราคาจ้างเหมาเช่ารถยนต์โดยสารปรับอากาศ,ประกันภัย,ข่าวประกาศ
oic_10010,สอบราคาจ้างสำรวจความพึงพอใจของผู้ใช้บริการกับสำนักงาน คปภ.,[ข่าวประกาศ] 2014-05-27 สอบราคาจ้างสำรวจความพึงพอใจของผู้ใช้บริการกับสำนักงาน คปภ.,ประกันภัย,ข่าวประกาศ
oic_10011,ให้บริษัทดำเนินการทดสอบการดำรงเงินกองทุนตามระดับความเสี่ยงฯ,[ข่าวประกาศ] 2014-05-27 ให้บริษัทดำเนินการทดสอบการดำรงเงินกองทุนตามระดับความเสี่ยงฯ,ประกันภัย,ข่าวประกาศ
oic_10012,การสมัครงานในตำแหน่งที่ว่างของบรรษัทประกันภัยต่อแห่งเอเชีย,[ข่าวประกาศ] 2014-05-27 การสมัครงานในตำแหน่งที่ว่างของบรรษัทประกันภัยต่อแห่งเอเชีย,ประกันภัย,ข่าวประกาศ
